game_id,shot_id,player_id,x_start,y_start,x,y,y0,outcome
6,1,player 1,45,35,5,26,4,NoGoal
6,2,player 5,40,30,25,25,5,NoGoal
6,3,player 4,50,35,33,36,6,NoGoal
6,4,player 2,5,10,7,35,5,Goal
6,5,player 2,5,55,19,39,9,NoGoal
6,6,player 1,4,50,10,28,2,Goal
6,7,player 3,45,5,20,25,5,NoGoal
6,8,player 5,35,35,15,34,4,NoGoal
6,9,player 5,10,5,5,27,3,Goal
6,10,player 1,40,10,15,19,11,NoGoal
6,11,player 5,37,8,15,21,9,NoGoal
6,12,player 1,5,20,21,25,5,NoGoal
6,13,player 3,5,60,17,37,7,NoGoal
6,14,player 3,45,50,11,21,9,NoGoal
6,15,player 3,70,50,22,25,5,NoGoal
6,16,player 5,20,40,8,19,11,NoGoal
6,17,player 1,4,55,17,34,4,NoGoal
6,18,player 2,20,7,16,38,8,Goal
6,19,player 4,70,50,17,26,4,NoGoal
6,20,player 1,5,11,9,33,3,NoGoal
6,21,player 3,55,30,16,41,11,NoGoal
